"restName"	"Address"	"Phone"	"webSite"	"openingDays"	"Takes_Reservations"	"Delivery"	"Take_out"	"Accepts_Credit_Cards"	"Accepts_Apple_Pay"	"Accepts_Android_Pay"	"Accepts_Bitcoin"	"Good_For"	"Parking"	"Bike_Parking"	"Good_for_Kids"	"Good_for_Groups"	"Attire"	"Ambience"	"Noise_Level"	"Alcohol"	"Outdoor_Seating"	"Wi_Fi"	"Has_TV"	"Good_for_Kids.1"	"Caters"	"Gender_Neutral_Restrooms"	"ContactPage"	"CustomerEmail"
"1300 on Fillmore"	"1300 Fillmore StSan Francisco, CA 94115"	"(415) 771-7100"	"http://1300fillmore.com"	" Mon , Closed Tue , 5:30 pm - 10:00 pm Wed , 5:30 pm - 10:00 pm Thu , 5:30 pm - 10:00 pm Fri , 5:30 pm - 11:00 pm Sat , 5:30 pm - 11:00 pm Sun , 10:30 am - 2:30 pm5:30 pm - 10:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Garage, Street"	"No"	"No"	"Yes"	"Dressy"	"Classy"	"Average"	"Full Bar"	"No"	"Free"	"No"	"No"	"Yes"	"Yes"	"http://1300fillmore.com/contact/"	"mailto:guestinfo@1300fillmore.com"
"808 Poke Shack"	"428 11th StSan Francisco, CA 94103"	"(559) 217-3741"	"http://808pokeshack.com"	" Mon , 11:00 am - 3:00 pm Tue , Closed Wed , Closed Thu , Closed Fri , Closed Sat , Closed Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"Lunch"	NA	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	NA	"http://808pokeshack.com#contact"	"mailto:808pokeshack@gmail.com"
"Beso Bistronomia"	"4058A 18th StSan Francisco, CA 94114"	"(415) 801-5392"	"http://besosf.com"	" Mon , 5:00 pm - 10:00 pm Tue , 5:00 pm - 10:00 pm Wed , 5:00 pm - 10:00 pm Thu , 5:00 pm - 10:00 pm Fri , 5:00 pm - 11:00 pm Sat , 11:00 am - 3:00 pm5:00 pm - 11:00 pm Sun , 11:00 am - 3:00 pm5:00 pm - 9:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"No"	"No"	NA	"https://www.facebook.com/BesoSanFrancisco"	NA
"Absinthe Brasserie & Bar"	"398 Hayes StSan Francisco, CA 94102"	"(415) 551-1590"	"http://absinthe.com"	" Mon , 11:30 am - 11:00 pm Tue , 11:30 am - 11:00 pm Wed , 11:30 am - 11:00 pm Thu , 11:30 am - 12:00 am Fri , 11:30 am - 12:00 am Sat , 11:00 am - 12:00 am Sun , 11:00 am - 10:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Valet, Garage, Street"	"Yes"	"No"	"Yes"	"Casual"	"Classy"	"Average"	"Full Bar"	"Yes"	"Free"	"No"	"No"	"No"	NA	"https://www.opentable.com/absinthe-brasserie-and-bar"	NA
"ABV"	"3174 16th StSan Francisco, CA 94103"	"(415) 400-4748"	"http://abvsf.com"	" Mon , 2:00 pm - 2:00 am Tue , 2:00 pm - 2:00 am Wed , 2:00 pm - 2:00 am Thu , 2:00 pm - 2:00 am Fri , 2:00 pm - 2:00 am Sat , 2:00 pm - 2:00 am Sun , 2:00 pm - 2:00 am"	"No"	"No"	"No"	"Yes"	"No"	"No"	NA	"Late Night"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Hipster"	"Average"	"Full Bar"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"http://abvsf.com/contact-1/"	"mailto:info@abvsf.com"
"Acquerello"	"1722 Sacramento StSan Francisco, CA 94109"	"(415) 567-5432"	"http://acquerello.com"	" Mon , Closed Tue , 5:30 pm - 9:30 pm Wed , 5:30 pm - 9:30 pm Thu , 5:30 pm - 9:30 pm Fri , 5:30 pm - 10:00 pm Sat , 5:30 pm - 10:00 pm Sun , Closed"	"Yes"	"No"	"No"	"Yes"	"No"	NA	NA	"Dinner"	"Garage, Street"	"No"	"No"	"No"	"Dressy"	"Romantic, Classy, Upscale"	"Quiet"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	NA	"http://visitor.constantcontact.com/d.jsp?m=1102470514864&p=oi"	NA
"Adam’s Grub Truck"	"San Francisco, CA 94158"	"(415) 307-8844"	"http://adamsgrubtruck.com"	" Mon , 11:00 am - 9:00 pm Tue , 11:00 am - 9:00 pm Wed , 11:00 am - 9:00 pm Thu , 11:00 am - 9:00 pm Fri , 11:00 am - 9:00 pm Sat , 11:00 am - 9:00 pm Sun , 11:00 am - 5:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Lunch"	"Street, Private Lot"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	NA	"http://adamsgrubtruck.com/#contact-section"	"mailto:info@adamsgrubtruck.com"
"A Desi Cafe"	"1501 Noriega StSan Francisco, CA 94122"	"(415) 759-9088"	"http://adesicafe.com"	" Mon , Closed Tue , 11:00 am - 2:30 pm5:00 pm - 9:00 pm Wed , 11:00 am - 2:30 pm5:00 pm - 9:00 pm Thu , 11:00 am - 2:30 pm5:00 pm - 9:00 pm Fri , 11:00 am - 2:30 pm5:00 pm - 9:00 pm Sat , 11:00 am - 2:30 pm5:00 pm - 9:00 pm Sun , 11:00 am - 2:30 pm5:00 pm - 9:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"http://adesicafe.comimages/menu2.gif"	NA
"Adventure in Food & Wine"	"3331 24th StSan Francisco, CA 94110"	"(628) 444-3430"	"http://adventureinfoodandwine.com"	" Mon , Closed Tue , 4:00 pm - 10:00 pm Wed , 4:00 pm - 10:00 pm Thu , 4:00 pm - 10:00 pm Fri , 4:00 pm - 11:00 pm Sat , 4:00 pm - 10:00 pm Sun , 4:00 pm - 10:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Intimate"	"Quiet"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	"http://adventureinfoodandwine.com/index.php/contact/"	NA
"Aicha Moroccan Cuisine"	"1303 Polk StSan Francisco, CA 94109"	"(415) 345-9947"	"http://aichasf.com"	" Mon , 12:00 pm - 9:30 pm Tue , Closed Wed , 5:00 pm - 9:30 pm Thu , 12:00 pm - 9:30 pm Fri , 12:00 pm - 9:30 pm Sat , 12:00 pm - 9:30 pm Sun , 12:00 pm - 9:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	NA	"http://aichasf.com"	NA
